200701 -21.0
400807 -21.0
601654 -21.0
803543 1.0
1006970 20.0
1209097 1.0
1409347 10.0
200109 0.0
400229 3.0
600229 5.0
800758 9.0
1001293 21.0
1201518 7.0
1401592 19.0
1602381 16.0
1802665 16.0
2002688 20.0
2203008 15.0
2403110 27.0
2603461 29.0
50111 0.0
100279 0.4666666666666667
150314 2.0
200509 3.2857142857142856
50131 0.0
100342 0.0
150414 0.34210526315789475
200485 0.0
250499 7.0
300596 7.0
350733 11.0
400835 7.0
451003 7.0
501051 3.0
551430 9.0
601447 5.0
651677 9.0
701774 7.0
751955 6.0
802318 4.7073170731707314
852410 5.0
902700 12.0
952902 10.0
1002907 6.0
1053036 11.0
1103297 16.176470588235293
1153300 13.875
1203337 9.0
50062 9.945945945945946
100228 2.0
150361 0.0
200414 0.0
250564 2.0
300791 3.0
350952 11.0
401056 3.0
451196 3.0
501395 3.0
551452 5.0
601574 5.0
651636 5.0
701797 4.0
751980 3.0
50312 -21.0
100905 -21.0
151365 -21.0
202211 -21.0
252659 -21.0
303793 -19.0
354450 -1.0
404452 -11.75
454989 -19.166666666666668
505981 -12.0
556967 8.0
606999 16.0
657897 8.0
708417 -19.0
760190 -19.0
812350 -21.0
862713 -14.0
914244 -2.0
966054 1.0
1016544 -2.0
1070067 14.0
1122173 5.0
1174343 20.0
1226123 20.0
1276470 20.2
1328499 20.0
1379024 21.0
1431031 1.0
1482067 21.0
1533129 21.0
1583861 21.0
1633872 20.0
1684133 21.0
1735808 21.0
1787143 21.0
1837547 20.0
1888880 21.0
1940507 21.0
1992550 21.0
